Month,Sales
Jan-17,189570
Feb-17,221757
Mar-17,319922
Apr-17,210293
May-17,244534
Jun-17,280853
Jul-17,254255
Aug-17,244351
Sep-17,316447
Oct-17,264150
Nov-17,301316
Dec-17,319448
Jan-18,242885
Feb-18,251691
Mar-18,371838
Apr-18,280059
May-18,318967
Jun-18,338318
Jul-18,324031
Aug-18,321733
Sep-18,392556
Oct-18,378617
Nov-18,416220
Dec-18,426272
Jan-19,331231
Feb-19,294332
Mar-19,456283
Apr-19,335262
May-19,370916
Jun-19,428602
Jul-19,341352
Aug-19,329245
Sep-19,384946
Oct-19,319384
Nov-19,353819
Dec-19,414618
Jan-20,334501
Feb-20,300784
Mar-20,354814
Apr-20,219021
May-20,271238
Jun-20,403487
Jul-20,440605
Aug-20,397634
Sep-20,567259
Oct-20,551108
Nov-20,599856
Dec-20,766725
Jan-21,620741
Feb-21,567524
Mar-21,939062
Apr-21,724192
May-21,773819
Jun-21,900057
Jul-21,829555
Aug-21,832333
Sep-21,983509
